concept_en,pair_name,pair_class,src_lang,layer,donor_type,kl_to_native,english_first_step_mass
water,ben_to_guj,test_cross_script_same_family,ben_Beng,25,native,0.0,0.3501785099506378
water,ben_to_guj,test_cross_script_same_family,ben_Beng,25,roman,0.04960576349250853,0.35651156306266785
water,ben_to_guj,test_cross_script_same_family,ben_Beng,25,devanagari,0.0006067481432749803,0.3448968529701233
water,ben_to_guj,test_cross_script_same_family,ben_Beng,25,hindi,0.0004448443543921272,0.34725186228752136
water,ben_to_guj,test_cross_script_same_family,ben_Beng,26,native,0.0,0.3427031338214874
water,ben_to_guj,test_cross_script_same_family,ben_Beng,26,roman,0.02184909272513945,0.3547082245349884
water,ben_to_guj,test_cross_script_same_family,ben_Beng,26,devanagari,0.0010057831667772141,0.3351983428001404
water,ben_to_guj,test_cross_script_same_family,ben_Beng,26,hindi,0.0007036464022539221,0.3344169855117798
water,ben_to_guj,test_cross_script_same_family,ben_Beng,27,native,0.0,0.32284826040267944
water,ben_to_guj,test_cross_script_same_family,ben_Beng,27,roman,0.0,0.32284826040267944
water,ben_to_guj,test_cross_script_same_family,ben_Beng,27,devanagari,0.0,0.32284826040267944
water,ben_to_guj,test_cross_script_same_family,ben_Beng,27,hindi,0.0,0.32284826040267944
sun,ben_to_guj,test_cross_script_same_family,ben_Beng,25,native,0.0,0.19739918410778046
sun,ben_to_guj,test_cross_script_same_family,ben_Beng,25,roman,0.0018768363925145677,0.21989919245243073
sun,ben_to_guj,test_cross_script_same_family,ben_Beng,25,devanagari,2.370322550619106e-05,0.19993850588798523
sun,ben_to_guj,test_cross_script_same_family,ben_Beng,25,hindi,2.6333474641101183e-05,0.19994622468948364
sun,ben_to_guj,test_cross_script_same_family,ben_Beng,26,native,0.0,0.19540999829769135
sun,ben_to_guj,test_cross_script_same_family,ben_Beng,26,roman,0.0008379126976404983,0.21015653014183044
sun,ben_to_guj,test_cross_script_same_family,ben_Beng,26,devanagari,2.4862686399045844e-05,0.1979323923587799
sun,ben_to_guj,test_cross_script_same_family,ben_Beng,26,hindi,3.1273174389987975e-05,0.19798459112644196
sun,ben_to_guj,test_cross_script_same_family,ben_Beng,27,native,0.0,0.20867882668972015
sun,ben_to_guj,test_cross_script_same_family,ben_Beng,27,roman,0.0,0.20867882668972015
sun,ben_to_guj,test_cross_script_same_family,ben_Beng,27,devanagari,0.0,0.20867882668972015
sun,ben_to_guj,test_cross_script_same_family,ben_Beng,27,hindi,0.0,0.20867882668972015
moon,ben_to_guj,test_cross_script_same_family,ben_Beng,25,native,0.0,0.12007039785385132
moon,ben_to_guj,test_cross_script_same_family,ben_Beng,25,roman,0.0001320798194038297,0.12506413459777832
moon,ben_to_guj,test_cross_script_same_family,ben_Beng,25,devanagari,1.142717111652361e-05,0.12002590298652649
moon,ben_to_guj,test_cross_script_same_family,ben_Beng,25,hindi,5.865664945344859e-06,0.1200457364320755
moon,ben_to_guj,test_cross_script_same_family,ben_Beng,26,native,0.0,0.12004825472831726
